1217,1222
684,267
683,-1628
-1331,640
149,1900
1268,1876
-425,1457
-673,-190
-198,1534
-99,1557
-1254,80
-1094,80
-1747,-1554
-648,-386
1693,677
926,-1001
1937,-1660
554,-1109
-1270,-1775
1091,-914
-535,-697
-1430,1376
1582,1261
-1234,88
-197,1939
926,172
1302,-245
281,191
750,-1182
-927,1608
-1675,-1222
910,763
1996,1669
-801,1047
924,1952
76,-1653
-1216,-694
695,1125
961,-1505
0,1081
-487,-11
-712,-54
-8,370
-1715,-648
261,488
1540,6
-548,-561
868,-986
438,-1475
1615,260
102,-92
492,1612
128,1800
-1953,-327
-1836,-901
-581,1243
-584,1847
1454,-1405
803,472
1178,-210
-1866,-1069
-1405,-372
-1771,-841
-1244,652
1971,-801
-516,-602
844,1040
-58,1476
-1749,-1515
1447,-1075
460,1557
545,624
412,-946
996,-342
-260,-720
-189,85
357,888
228,45
1605,39
1777,-481
615,1119
-500,1104
-431,698
1120,231
-505,166
754,344
-1619,449
-1130,1486
-695,-1843
1726,-364
391,1136
-83,1665
-426,-470
-1334,1182
719,1204
1456,-684
-1162,1106
642,567
442,52
1244,201
182,591
837,-1588
-1990,-622
-416,1864
-957,-888
-127,1909
-730,-470
-420,-922
-339,382
154,1458
1720,976
-987,992
-1403,139
-1053,-242
-278,-685
-865,-1122
126,-1086
-1982,-98
1303,-1154
1793,1106
367,-1132
656,1856
-416,787
-1228,-840
686,-409
694,-546
1636,1264
1428,406
-138,1982
401,-470
869,-1781
-499,-1189
1090,1878
-593,-1951
618,-1801
958,257
1615,1956
1551,1578
-873,511
-39,1388
1149,-1991
-284,470
886,-1880
32,1066
-1650,-1920
-782,-1761
-1423,-1583
-567,-654
-571,604
-721,-53
-1452,659
-549,1703
-760,620
-1565,1223
1423,-1150
430,532
-226,329
-1240,142
-1262,1804
-785,-1680
-1263,1252
-470,-351
-113,-1226
-1639,-1223
269,-1942
7,-1747
-484,-1116
-1028,1082
1182,-991
1935,746
-51,-176
1785,38
-1066,-1142
-860,121
-3,-753
1059,-100
836,255
1627,-61
1670,-1167
-609,-1661
1501,532
-679,830
771,1023
516,-1203
246,1495
-745,392
-1707,-995
-4,757
807,1169
-1474,-1653
-549,-1849
-1792,-1598
553,900
107,1530
1527,-1067
96,260
152,1676
363,-720
1040,-1863
-1224,1332
1746,1409
-1088,-747
106,-515
-901,1461
1046,-911
953,442
1551,-1817
-148,119
998,-665
317,-1287
-471,246
1055,-1392
452,1033
1953,824
-828,804
-612,1699
696,-333
1292,-156
-176,323
1788,603
359,-1250
-710,-1608
1629,1218
-1367,-1138
1885,1885
118,-491
-1794,-1209
-638,59
1092,1340
573,-1623
-986,277
852,-1138
-982,993
961,170
-1299,-1307
129,-1095
1599,1741
-508,954
-1078,333
1149,-454
-909,-1543
1368,-894
1594,1470
1771,1242
892,1051
-699,-744
1816,-705
-348,1705
1006,1792
-637,-1957
-158,-1739
111,-443
-1472,-335
123,-1005
1722,-1571
-854,-1103
-1011,-656
-695,-1548
-734,-1459
-129,352
-816,922
-388,1497
-898,-904
1807,-1431
-1658,-1084
-1900,-1110
-1675,-247
-854,1585
1391,-1601
-1853,1016
-16,-988
-1580,-1273
-1555,405
588,318
921,1546
1602,864
964,-85
-1273,799
253,307
218,1089
184,-1569
378,-660
-1206,1619
694,723
49,106
-608,1149
1361,1911
-1471,1038
-743,-1763
1830,52
324,-1753
-1673,-944
-420,-1979
-408,-1377
-1928,-189
-1911,-1691
1638,-600
-1096,1717
-1052,-632
311,-1730
488,6
-361,-907
96,-150
-973,187
1780,-1573
1850,-916
-1721,1145
-1276,1860
1596,1433
293,781
1780,1502
-448,-183
470,-688
-1229,1368
1576,1116
816,-1369
1978,1608
-1269,-1227
-1598,-399
879,1091
-1951,-797
1356,-1352
-123,-524
1515,46
-568,-1827
450,1660
-491,278
258,545
-1206,1581
685,-278
-103,1795
70,1312
-1591,-829
-799,337
-582,-1408
-551,-327
-730,-54
-1536,45
-1438,1484
-975,-1309
-1820,-859
801,353
830,896
-12,1665
296,-1421
-820,-290
380,-527
1981,895
987,44
27,-1124
-1363,1611
-1579,1713
-1434,611
1531,158
579,-43
1818,152
788,-1692
-1976,528
-1932,1937
1466,1854
1139,501
-12,-726
757,-1446
472,-650
1234,1398
-737,-1621
-1794,741
-1274,1343
804,962
-1120,-1312
-820,1314
-1975,1248
-1060,-1778
-1862,1628
346,-677
-1512,-1237
399,-1529
-1241,-1825
102,-1839
573,-1797
-76,725
977,-78
-1230,1860
-1135,-169
-1498,-580
1491,1127
-1376,-1911
1187,-913
-1696,-1577
1980,1338
-396,147
-334,-1957
1951,1245
939,1716
-714,1164
686,-127
1508,1918
1523,-1724
-1939,-934
1402,-1874
-721,69
-712,-218
-412,-1987
-52,-551
-1564,-715
1136,318
-1592,-1843
1483,1988
-343,-1140
867,-5
-1689,253
1296,1916
581,-1723
139,-1482
786,1565
165,982
1507,-241
980,1970
-453,-687
968,626
908,409
1948,-1445
-41,-804
264,-1222
816,232
-76,-983
-1507,-1670
1542,-255
1629,-196
156,-708
-251,831
-1451,1445
1509,-1103
202,1663
-502,634
-1829,654
-1891,-1895
-253,1638
136,-394
749,1231
-1320,-1948
-1984,1809
477,1109
-938,1410
79,-1031
427,-279
-85,-11
528,-1682
251,1372
1918,-1696
1428,-499
264,1058
1209,1416
682,-1005
-740,-1074
1694,-1128
-987,-1068
-243,-23
1675,1443
-414,1941
-1121,1808
1946,1906
872,-877
888,-603
520,1254
-523,-918
-1410,1884
-588,-255
-155,-69
1076,-1707
1082,-1737
1726,1258
-1829,493
-1314,-1790
1770,697
143,556
-1488,-1100
-1777,-565
479,-1075
754,1470
-1584,-1150
754,369
-181,-388
771,1247
517,1093
-1275,-1375
772,-441
-1293,152
-770,-190
-520,-653
-1633,649
33,-1155
1576,-1479
-915,1479
565,1559
-127,-51
-425,229
-231,968
1600,1697
-1287,1520
222,347
673,-1557
1662,-432
-1729,-1034
-14,-1305
446,-1618
1517,-1656
1756,-1348
458,1428
1753,187
-787,453
1835,-729
289,482
-1201,1476
-767,-257
25,-504
-974,79
-723,1222
-1107,1447
1415,-488
1243,337
468,-1432
-200,873
643,1275
-1606,-424
182,1786
-1013,490
754,703
1586,-274
-618,152
-1551,330
-1495,1787
487,1048
1804,-249
-332,1888
206,-1038
-323,-173
-1058,-1420
-1882,-1950
571,-1745
-260,1657
-568,-774
-843,-1700
-1701,-152
-1426,-1860
756,-390
1428,1365
-181,-1858
1823,1767
-1790,-543
664,-272
-998,1656
-1252,-1950
993,1063
792,70
616,-1459
-364,-20
-1933,396
556,-466
778,-200
-327,1632
1901,956
-145,822
4,995
159,-653
211,-1303
989,-952
-915,639
1724,1457
1440,949
1685,8
1422,1703
870,-891
-1700,-1753
695,-461
98,227
55,-49
643,754
486,-449
1399,-1056
-1812,1677
-412,-1677
1350,-1057
-948,282
513,-1259
-897,-1551
1022,-1986
1584,595
-330,-1450
742,-803
-1801,192
73,571
1453,124
1212,-911
700,262
810,-504
1064,-1045
1560,1395
-520,1640
-326,989
1199,-31
450,-1232
-870,-1318
-492,1828
1288,-330
-1099,-1277
563,-1399
-927,-1163
-1603,1884
731,909
1269,-1315
639,-1553
25,-960
1620,-1956
-938,1527
-675,988
-1206,393
174,-346
-1717,722
1628,1327
384,1366
-1235,1484
-179,323
-1617,-1626
1068,1826
-1148,-1990
54,313
827,-407
994,-1631
26,-1629
-1436,-513
247,-1205
-1065,482
-1018,-1497
-1131,1208
-595,1830
-1374,-1204
243,-82
-471,-736
-393,353
926,-1981
-4,299
-733,-785
-1758,-693
1094,-703
-1648,-1861
1575,246
-1683,990
-744,735
-145,6
-547,129
-1558,-1474
1554,1675
-1846,1722
-1972,-1419
124,250
248,-527
-570,405
-1281,-879
1335,-1849
-789,1589
1209,1913
-957,1614
835,682
-750,-556
107,1463
1606,1057
857,1932
1717,-1656
854,871
1113,1781
-861,965
1500,419
-1818,267
1935,-1164
1440,-1581
212,-496
-1254,-1359
-1221,-195
861,1857
-791,-1834
1088,176
1461,-20
-1412,-989
-339,-1418
1116,455
-875,1654
592,-1002
-433,-1046
-1375,-1630
-1162,1548
1439,-350
1700,1862
-395,1975
-300,1941
990,1369
2,25
273,-1853
1102,502
312,1783
1439,1482
511,1999
-1500,-245
-281,801
-778,284
-166,1902
-1287,1772
1433,-280
-1343,-1940
-1808,-258
849,875
-1845,-603
767,80
643,36
436,-1614
-1167,764
1487,-1577
419,-1166
905,-761
1196,-293
-1965,-851
437,1667
1499,-1686
-1039,-1031
-914,-1067
-657,-901
343,-1869
-24,953
-218,879
1753,1608
-981,1750
1482,-1882
258,1105
172,1957
-1271,384
1154,1975
-1813,-1520
-522,1812
-511,377
-1203,1194
-1393,1942
116,-1759
746,-479
-455,1161
1849,1962
-1097,835
-455,1428
-1239,-822
1818,-723
543,1468
-1369,-1848
1486,-1048
1475,1145
1826,-1226
526,-1236
15,-1971
-1240,-1630
1829,1445
940,-1943
-350,-662
-1507,1718
833,1385
-1313,994
112,1210
-1572,926
1887,-1398
-921,-843
-204,-828
1213,381
188,572
-505,1048
860,1848
956,845
-1979,-389
452,-1057
-1274,271
-489,839
1275,1229
-733,1650
-1596,428
1453,-1127
-720,69
-1457,-1575
216,1503
-417,-1745
-1976,-325
16,-1230
-872,1694
977,1228
-391,-1162
-1868,-1418
1066,-1365
-1270,-1393
1034,1988
1417,-1927
-1400,-109
-177,1361
-1449,-1506
-800,-311
701,587
1163,-1181
-821,327
-1108,-1396
1286,1491
1930,-1294
-1789,-85
-1408,-1756
-302,1684
-167,1605
-1839,578
468,-1460
674,1187
-920,-485
-937,-1876
-1280,1593
-1399,637
1191,1294
647,1683
191,-325
1932,-469
107,-1740
-1815,-626
-1107,-261
706,477
170,-1702
-523,-998
1385,-1059
-588,-528
-38,-1911
-364,-671
1907,125
702,-1782
-1386,996
1954,-940
-1458,-1037
1516,-1062
-1512,-91
367,-1838
-449,241
445,1498
1663,292
-1575,1153
-1269,33
-1533,-177
875,274
-1966,369
1117,617
1793,1733
1499,887
-1760,-1602
1117,-1976
-533,-1643
-395,1401
1463,940
-1831,1336
-1560,-1760
-1570,55
1921,107
-577,-1556
-237,-590
605,-1529
-1226,-142
-1216,208
629,-1854
-516,1821
-1565,-571
1775,1454
1932,-1682
998,-315
1031,-1008
-736,1701
1767,449
-1206,-1178
945,1963
-1335,-367
-376,-1361
86,-962
-445,-362
131,1992
1376,-1835
-1188,-1430
561,1116
-215,793
-1547,-997
-1617,-1603
1282,1297
-1641,-1876
-66,-173
1286,869
717,-1706
779,-570
-91,-359
1368,-1365
-1987,1905
-1784,-1436
676,-750
638,1137
814,151
-1778,1916
1128,-657
821,1203
-1875,1092
514,1089
-271,1737
120,904
-678,-1569
-1236,1982
-1553,196
-1431,1825
1449,857
-365,-1097
1606,1550
296,1510
252,556
-1406,-1875
-1398,-258
1018,1277
-1910,125
-1465,-232
-861,-1929
-1245,1348
-1733,-229
142,1004
-694,-636
-916,-1932
874,-1536
1161,-170
1386,-453
-1603,-66
-735,1613
-1429,-1762
191,-1156
-1437,1679
-449,1935
903,1221
